,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.563950777053833,0.10064077377319336,0.9999986690430435,-0.1526999999992853,-0.0004776699033610628,-2.8086478375337503e-05,-1.0343051820694967e-08,-0.0
1,1.6025583744049072,0.11938595771789551,0.9999997691958947,-0.050899999999096224,-0.00015657546380620131,-4.902789055370573e-06,-1.8226586283327127e-09,-0.0
2,1.6497857570648193,0.1223440170288086,0.9999999607181976,-0.010300000000000864,-0.0001009708742729538,-8.580406001026115e-07,-2.8472756524465326e-10,-0.0
3,1.5889334678649902,0.1101987361907959,0.9999891584288071,-0.43869999999930087,-0.000826125331446206,-0.00023692935569171337,-8.796091480236209e-08,-0.0
4,1.574866533279419,0.11521720886230469,0.9999996008593132,-0.07059999999925992,-0.00020247131554131814,-8.431209178881567e-06,-3.1097015443582392e-09,-0.0
5,1.552250862121582,0.12085390090942383,0.999999544327868,-0.10059999999929659,-0.00014024713197181244,-9.327952338787957e-06,-3.4595140449533424e-09,-0.0
6,1.5799720287322998,0.11836099624633789,0.9999995704793978,-0.09209999999919205,-0.0002015004417564648,-9.084227714022451e-06,-3.235523254061121e-09,-0.0
7,1.5756945610046387,0.12062668800354004,0.9999993140767848,-0.09089999999929432,-0.00027431597575331166,-1.4301323918486644e-05,-5.313093426756032e-09,-0.0
8,1.6085584163665771,0.10668563842773438,0.9999998833897332,-0.040899999999140846,-0.00010547703224389216,-2.436925794886948e-06,-8.958253659493436e-10,-0.0
9,1.5991718769073486,0.10421156883239746,0.9999991680533511,-0.08119999999912864,-0.00041466431138967926,-1.7506696112650627e-05,-6.194839848783236e-09,-0.0
