,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.7143232822418213,0.12000465393066406,0.9999915773301825,-0.04139999999967614,-0.0003543744122830566,-4.153142050436908e-06,-1.7543138504795725e-09,-3.055333763768431e-13
1,1.7120983600616455,0.11726570129394531,0.9999838515468717,-0.06489999999914176,-0.0003805268111687271,-7.078184383387166e-06,-2.923941233422017e-09,-2.8421709430404007e-13
2,1.666562795639038,0.10025215148925781,0.9999929616847338,-0.023399999999242027,-0.0003594161961014511,-3.0907062143636293e-06,-1.30838760723881e-09,-2.913225216616411e-13
3,1.7563741207122803,0.10840463638305664,0.9999923506363602,-0.04229999999905942,-0.000323069680095903,-3.6132485872121993e-06,-1.4810984228397077e-09,-2.6645352591003757e-13
4,1.7343807220458984,0.1132059097290039,0.9999938331737023,-0.025199999999088618,-0.00034482109250248607,-2.8570809788899643e-06,-1.1776589252399677e-09,-2.4513724383723456e-13
5,1.7471461296081543,0.11625790596008301,0.9999907877803268,-0.025199999999735212,-0.0003821092281136507,-3.578041431002856e-06,-1.536915313875982e-09,-2.6290081223123707e-13
6,1.708500623703003,0.10813689231872559,0.9999970275864177,-0.01699999999905799,-0.00026572504729775796,-1.3601318264783758e-06,-5.717696053198611e-10,-1.8474111129762605e-13
7,1.6809074878692627,0.11634492874145508,0.9999687970269212,-0.08819999999916206,-0.00047354048987637964,-1.447080037611807e-05,-5.858155965964673e-09,-2.2737367544323206e-13
8,1.6696522235870361,0.1100625991821289,0.9999931901084987,-0.03409999999953328,-0.0003530131829219096,-3.1985969864353034e-06,-1.3457246173614478e-09,-2.984279490192421e-13
9,1.7098305225372314,0.10689163208007812,0.9999956070960324,-0.018299999999072725,-0.00030018832415669097,-1.94676082828713e-06,-8.14769420739077e-10,-2.1316282072803006e-13
