,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.2621560096740723,0.11454343795776367,1.0,-1.2647660696529783e-12,-6.121587287830293e-13,-5.669637517667676e-25,-1.3238298326538693e-28,-4.121147867408581e-13
1,1.265841007232666,0.09997010231018066,0.9999999952227836,-0.008899999998746466,-9.498399762954679e-06,-8.453575237746755e-08,-2.0191664602914288e-11,-4.263256414560601e-13
2,1.3003506660461426,0.09964489936828613,0.9999999954059546,-0.008899999998781993,-9.498399808567427e-06,-8.453575237814245e-08,-2.019166460317505e-11,-4.547473508864641e-13
3,1.2695281505584717,0.11394071578979492,1.0,-1.2576606422953773e-12,-5.631487212993844e-13,-5.338817710259816e-25,-1.263979115735874e-28,-3.694822225952521e-13
4,1.2740306854248047,0.09950399398803711,0.9999999953141896,-0.008899999998774888,-9.498399785135441e-06,-8.453575237800747e-08,-2.019166460317505e-11,-4.405364961712621e-13
5,1.2764978408813477,0.09979486465454102,1.0,-1.2505552149377763e-12,-6.10451860001586e-13,-5.504038150339756e-25,-1.2598260360399792e-28,-4.547473508864641e-13
6,1.267317533493042,0.09941220283508301,1.0,-1.2647660696529783e-12,-6.143613633019755e-13,-5.750772805202083e-25,-1.3510591482089693e-28,-4.263256414560601e-13
7,1.2851037979125977,0.1148691177368164,1.0,-1.2576606422953773e-12,-6.337570544330338e-13,-6.0623542537379e-25,-1.425065426080184e-28,-4.405364961712621e-13
8,1.272071123123169,0.11127901077270508,0.9999999905517227,-0.008899999998781993,-1.9017094648400318e-05,-1.6925213670581085e-07,-4.0426473788835514e-11,-4.263256414560601e-13
9,1.2743690013885498,0.1256401538848877,0.9999999951660601,-0.008899999998760677,-9.508547609035941e-06,-8.462606835250005e-08,-2.021323689415672e-11,-4.263256414560601e-13
