,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.5118625164031982,0.11552095413208008,0.9999909622073234,-0.8183999999995137,-0.003397355035804438,-0.0011334887487263721,-1.3271389747874299e-06,-0.0
1,1.5228939056396484,0.11148953437805176,0.9999934281777488,-0.7265999999995465,-0.0029908350307339747,-0.0008002957637462237,-9.692191167059178e-07,-0.0
2,1.5268797874450684,0.10543942451477051,0.9999929403863334,-0.36959999999950455,-0.00426843177209623,-0.0009273651323811016,-8.197669791266934e-07,-0.0
3,1.5250880718231201,0.10829639434814453,0.9999963222318805,-0.4973999999995584,-0.002488594704877531,-0.0004629713645607273,-5.866877808910216e-07,-0.0
4,1.5492541790008545,0.10042309761047363,0.9999966856490212,-0.47520000000002227,-0.002370672097950681,-0.0004148930346223958,-2.898591339828131e-07,-0.0
5,1.5335266590118408,0.11671638488769531,0.9999862329214748,-1.2143999999994968,-0.002886354379019374,-0.0017378864358432754,-2.1450915325383197e-06,-0.0
6,1.533229112625122,0.1165611743927002,0.9999963651323941,-0.5279999999995475,-0.002583910387174243,-0.0004693208553960393,-5.767974753966052e-07,-0.0
7,1.499861240386963,0.11804842948913574,0.9999664363448949,-1.9008000000000678,-0.0045171079431707535,-0.004149567128308708,-1.7343767339250543e-06,-0.0
8,1.5109624862670898,0.10545468330383301,0.9999968451695026,-0.42240000000001743,-0.002725661914664006,-0.00038601714867562146,-2.1213462924588974e-07,-0.0
9,1.5157499313354492,0.11593294143676758,0.9999888779214522,-0.8106000000005622,-0.004947861507312633,-0.0013530654989814598,-6.955341788298357e-07,-0.0
