,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,1.3548364639282227,0.1119222640991211,0.9999999533795157,-0.013899999998464807,-6.0271117258683814e-05,-5.593534930418605e-07,-1.610493531814894e-10,-1.5702994460298214e-12
1,1.3667857646942139,0.11648106575012207,0.9999996071355048,-0.0649999999986548,-9.384775958631077e-05,-4.64025026044194e-06,-1.353315997117034e-09,-1.5347723092418164e-12
2,1.3546335697174072,0.11229896545410156,0.9999999977878911,-0.004999999998688054,-5.213765914600051e-06,-2.606882167557929e-08,-6.506512775154209e-12,-1.6413537196058314e-12
3,1.3567986488342285,0.10962653160095215,0.9999999034361667,-0.014999999998892122,-9.155370329871082e-05,-1.0807299267451031e-06,-2.9584601982100527e-10,-1.5987211554602254e-12
4,1.3833777904510498,0.11673688888549805,0.9999995545324569,-0.07269999999895305,-0.00015594989713617563,-6.52496868459114e-06,-1.6091063817137452e-09,-1.5845103007450234e-12
5,1.383164405822754,0.11673855781555176,0.9999965897806921,-0.13109999999895905,-0.0004078288115341426,-4.127502087685774e-05,-9.29806449348254e-09,-1.5702994460298214e-12
6,1.3498928546905518,0.13390350341796875,0.9999948278702087,-0.251099999998992,-0.0003526096049013443,-6.67190396652356e-05,-1.674260652938682e-08,-1.652011860642233e-12
7,1.3662824630737305,0.11666369438171387,0.9999998511762398,-0.027800000001306557,-8.298538774553776e-05,-1.8673173278450273e-06,-3.831462829248561e-10,-1.566746732351021e-12
8,1.3673841953277588,0.11576485633850098,0.9999996831153027,-0.05999999999892225,-0.00010438413517705227,-4.279749477850597e-06,-1.0690222854949136e-09,-1.6200374375330284e-12
9,1.3666865825653076,0.09979581832885742,0.9999999888257046,-0.009999999998889564,-2.0876828263277254e-05,-1.5657620036867077e-07,-3.9081885461356476e-11,-1.5916157281026244e-12
