,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,2.4177041053771973,0.11666989326477051,0.838252532281912,-1.5800598301922903,-0.20698956062783272,-0.11987708213224181,-6.759739058019309e-05,-0.10977668666476603
1,2.5320825576782227,0.10156106948852539,0.8713168771551982,-1.569462566800027,-0.18765619821716928,-0.09270034111359833,-5.240398057627344e-05,-0.1132135858767569
2,2.4162075519561768,0.11702132225036621,0.8269379599707003,-1.567326579600497,-0.21112637730780154,-0.1261338738025158,-7.102453289984073e-05,-0.11130560244048837
3,2.6655075550079346,0.11767959594726562,0.8273296893328616,-1.5794463670293695,-0.21251215218075178,-0.12868012821456395,-7.255479806776907e-05,-0.1112144652127185
4,2.459136486053467,0.10875368118286133,0.8457876078450688,-1.6009312759034557,-0.20037038280762584,-0.11256304629378434,-6.353293846469479e-05,-0.11275435264529676
5,2.4843246936798096,0.13075995445251465,0.8262866266336567,-1.5917530393375259,-0.2094796018120936,-0.132681045735883,-7.477651630892891e-05,-0.10923498931995113
6,2.433518171310425,0.13287591934204102,0.8010154142107129,-1.5975090197081272,-0.22187815401523853,-0.14221980441142562,-8.018470067723097e-05,-0.1109120771774883
7,2.531771183013916,0.1851961612701416,0.8308258562291372,-1.580339777903312,-0.20681925541797277,-0.1247898713724703,-7.033042333553798e-05,-0.11068146361127162
8,2.663754463195801,0.1174774169921875,0.8409401532106294,-1.5816920572409217,-0.20573371210335037,-0.11677961579141427,-6.580913046962314e-05,-0.11210824733903024
9,2.7605531215667725,0.12618708610534668,0.8507329756387565,-1.5802060444715096,-0.19948763847552067,-0.1097514773997129,-6.188541171161979e-05,-0.11126846703056259
