,fit_time,score_time,test_explained_variance,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_mean_squared_log_error,test_neg_median_absolute_error
0,2.222227096557617,0.11606311798095703,1.0,-1.2079226507921703e-12,-6.242235472738972e-13,-5.396173639831789e-25,-1.2925195476323438e-28,-3.694822225952521e-13
1,2.2269222736358643,0.12294411659240723,1.0,-1.2008172234345693e-12,-6.414752519041451e-13,-5.634077789649941e-25,-1.3549380615203755e-28,-3.694822225952521e-13
2,2.2667934894561768,0.11733627319335938,1.0,-1.2292389328649733e-12,-6.948834961726444e-13,-6.364296341112025e-25,-1.4813578625107567e-28,-4.121147867408581e-13
3,2.2086758613586426,0.12393689155578613,1.0,-1.2150280781497713e-12,-6.352039729022923e-13,-5.477903468679631e-25,-1.281802152409864e-28,-3.836930773104541e-13
4,2.233285903930664,0.1165618896484375,1.0,-1.2079226507921703e-12,-6.83311583528355e-13,-6.088636786391594e-25,-1.4419905883078384e-28,-4.121147867408581e-13
5,2.219809055328369,0.13058781623840332,1.0,-1.2150280781497713e-12,-6.313961699157113e-13,-5.410008627397771e-25,-1.2671415410157468e-28,-3.979039320256561e-13
6,2.232870578765869,0.13403844833374023,1.0,-1.2363443602225743e-12,-6.197587552370763e-13,-5.558184484089982e-25,-1.3105878868107716e-28,-3.410605131648481e-13
7,2.315335750579834,0.11639618873596191,1.0,-1.2292389328649733e-12,-6.966658968608538e-13,-6.281058860189481e-25,-1.4687814679111817e-28,-4.263256414560601e-13
8,2.218137264251709,0.13211631774902344,1.0,-1.2292389328649733e-12,-6.929613578111643e-13,-6.218043841992319e-25,-1.4516726256291449e-28,-4.405364961712621e-13
9,2.217747449874878,0.11571359634399414,0.9999999903424601,-0.008900000000409136,-1.9017094678165682e-05,-1.692521367676979e-07,-3.12486349665558e-11,-3.979039320256561e-13
